"code","iso","country","FGG.raw.2000","FGG.raw.2001","FGG.raw.2002","FGG.raw.2003","FGG.raw.2004","FGG.raw.2005","FGG.raw.2006","FGG.raw.2007","FGG.raw.2008","FGG.raw.2009","FGG.raw.2010","FGG.raw.2011","FGG.raw.2012","FGG.raw.2013","FGG.raw.2014","FGG.raw.2015","FGG.raw.2016","FGG.raw.2017","FGG.raw.2018","FGG.raw.2019","FGG.raw.2020","FGG.raw.2021","FGG.raw.2022"
4,"AFG","Afghanistan",NA,NA,5.98734378556955e-09,6.79991802210319e-09,8.05285879087497e-09,8.6332878031469e-09,8.62556506832336e-09,7.7293866696459e-09,7.72913266569728e-09,6.58741065429642e-09,5.72510128378613e-09,5.73566292049272e-09,5.19519244622575e-09,5.05143160118939e-09,5.37356507386079e-09,5.87272635398074e-09,6.55352166329489e-09,7.16083831318921e-09,8.00260124393855e-09,8.50331404554419e-09,9.52931714387501e-09,1.31675122983831e-08,NA
8,"ALB","Albania",1.28005481575314e-09,1.63352911606848e-09,1.97513762268294e-09,2.31773168558677e-09,2.62807102030671e-09,2.97778835707266e-09,2.96001201602906e-09,2.8481010028635e-09,2.75550799074218e-09,2.75550127001334e-09,2.64104004609581e-09,2.59105477269514e-09,2.60704878640263e-09,2.65111095298368e-09,2.84685639553922e-09,3.09776208343366e-09,3.42266399219603e-09,3.67878526079148e-09,4.00818707087763e-09,4.33680391318707e-09,4.90950477439157e-09,4.92215675278035e-09,5.02011034250572e-09
12,"DZA","Algeria",2.00080122255414e-09,2.29081560574076e-09,2.47535171609189e-09,2.63262404198191e-09,2.84644168616999e-09,3.04394182076869e-09,3.16247828356083e-09,3.14041346548641e-09,3.22681750444582e-09,3.28099326522935e-09,3.21765362690337e-09,3.17621509968932e-09,3.16702358761392e-09,3.19658037426291e-09,3.30271351952015e-09,3.46462558735471e-09,3.71168180069297e-09,4.03457098692508e-09,4.39353943076748e-09,4.73268136337091e-09,5.36900381111225e-09,5.62345488276042e-09,5.77287275482909e-09
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74102139102208e-09,5.83989361730821e-09,6.02098897014043e-09,6.0814383109675e-09,5.75042542755079e-09,5.55943830662776e-09,5.29297621126917e-09,4.99241082572346e-09,4.49457043250774e-09,3.93735365362863e-09,4.04764076271453e-09,3.62078826595764e-09,3.02549991891443e-09
24,"AGO","Angola",8.08852092257626e-10,1.07207889072419e-09,1.18715100045988e-09,1.43821334807195e-09,1.54408823786321e-09,1.60748789175482e-09,1.51532773855737e-09,1.35517941159244e-09,1.26590059967048e-09,1.30159211487774e-09,1.2356233946374e-09,1.20491968507514e-09,1.12991735747857e-09,1.10490810388364e-09,1.15317576806869e-09,1.26734605078244e-09,1.4841379031418e-09,1.665234521916e-09,1.91058097837064e-09,2.12539753784421e-09,2.46572455465574e-09,2.66691974365579e-09,2.75937304973178e-09
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",2.66480652355366e-09,3.64078271649101e-09,5.40230820141885e-09,6.34595392298676e-09,7.07379922335651e-09,7.76916387264713e-09,7.77851304132401e-09,7.27059843941557e-09,7.06270965231811e-09,7.5299713982301e-09,6.65001575657919e-09,6.20453586514979e-09,6.2788157764857e-09,6.24775505934988e-09,7.52335410449678e-09,8.07892482927538e-09,9.22994705019452e-09,9.91022498862024e-09,1.1362208347057e-08,1.27032016845259e-08,1.5337227998385e-08,1.50081041514416e-08,1.52239659342709e-08
51,"ARM","Armenia",2.19691862658076e-09,2.76075975107558e-09,3.08097342724424e-09,3.35123425414991e-09,3.62493207283874e-09,3.80641013517886e-09,3.54226201908586e-09,3.17515571368517e-09,3.08849388938888e-09,3.717851114e-09,3.61536342050652e-09,3.47451680417563e-09,3.30450962097984e-09,3.29255635022993e-09,3.45856759475965e-09,3.71363061456542e-09,4.24859157014941e-09,4.42868195990999e-09,4.76930061381877e-09,4.87815528719577e-09,5.76361774694378e-09,5.95769731024313e-09,5.64974155621094e-09
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",5.43336122904887e-09,5.44506958684375e-09,6.20082525926173e-09,6.73735666118876e-09,7.29081422500227e-09,7.60177493736045e-09,7.61362277524017e-09,8.05486433453476e-09,6.95757309803784e-09,7.63454441403507e-09,7.3082126257851e-09,7.73889308355145e-09,6.9453851008174e-09,7.37201398971005e-09,7.73671472942603e-09,8.53583020154563e-09,8.30035782235264e-09,8.10675429888543e-09,7.93673997565247e-09,8.71110115481378e-09,9.03537227123438e-09,9.15058200475482e-09,9.05754750895431e-09
40,"AUT","Austria",3.6530037630257e-09,4.19082602804532e-09,4.33148297405139e-09,4.44618307884993e-09,4.45362070638621e-09,4.30665319751604e-09,4.0439270317999e-09,4.01327464881834e-09,4.00071328085285e-09,3.80490853902533e-09,4.05915727387457e-09,3.98870237636693e-09,4.13980080741718e-09,4.18324786926416e-09,4.31050291302605e-09,4.48604336339722e-09,4.65601257916221e-09,4.7420171984726e-09,4.6911850148244e-09,4.52016886807546e-09,4.87516941546491e-09,4.70396006066157e-09,4.6569381760534e-09
31,"AZE","Azerbaijan",1.47285051941095e-08,1.36561968829963e-08,1.27883953485026e-08,1.30103666907065e-08,1.33888903618027e-08,1.19387961676255e-08,9.73664404882367e-09,8.91632244812763e-09,9.09474822670848e-09,8.5683447667481e-09,8.86237951643349e-09,7.60776435830405e-09,8.43582089201753e-09,8.33501927606174e-09,8.81728357526973e-09,9.07074317254571e-09,9.57695356401693e-09,1.05639260934381e-08,1.09742203309735e-08,1.12591528734653e-08,1.24868322479618e-08,1.25745492776741e-08,1.24116043625065e-08
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",1.59276815856616e-08,1.65508598311489e-08,1.80559614420645e-08,1.9420781019637e-08,2.03784334645182e-08,2.16439630191185e-08,2.29093514580021e-08,2.4646348182942e-08,1.93313769145243e-08,1.80041793345863e-08,1.71839647187006e-08,1.72041059649102e-08,1.61245801365005e-08,1.5377036326291e-08,1.54968307223158e-08,1.71209903174985e-08,1.79958082890333e-08,1.89388407572512e-08,2.08828672415882e-08,2.21880937868358e-08,2.5384197124893e-08,2.67844793071102e-08,2.711474560231e-08
50,"BGD","Bangladesh",9.73058214386922e-10,1.27696107546959e-09,1.55213990593113e-09,1.8374415309914e-09,2.08663669159569e-09,2.34235228949903e-09,2.31325907270201e-09,2.20507587984789e-09,2.16142842298775e-09,2.13724170808152e-09,2.00459648767496e-09,1.9015223630005e-09,1.82010942904036e-09,1.7498806138358e-09,1.80552947725362e-09,1.88439563793493e-09,2.00472862983989e-09,2.11108014566605e-09,2.22937997868762e-09,2.27646562472682e-09,2.40355568480745e-09,2.467367317454e-09,2.4530354617226e-09
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",4.80293487478738e-10,5.0733594133289e-10,5.19163258380136e-10,5.21986365801139e-10,5.57481506327494e-10,5.51179334848201e-10,5.27859021960797e-10,5.38291100741598e-10,5.35865882458392e-10,6.10351076844957e-10,6.58227432748698e-10,6.76682923968033e-10,7.90584220798472e-10,8.50303547814238e-10,9.46586464464092e-10,1.08788965323387e-09,1.15741624567878e-09,1.16339458249388e-09,1.16695534971138e-09,1.1833428766068e-09,1.25231286545912e-09,1.27118132169449e-09,1.37924491570528e-09
56,"BEL","Belgium",3.89977386846413e-09,3.67794565229788e-09,3.72647157287281e-09,4.32107328806584e-09,4.48814644428592e-09,4.38630790828467e-09,4.37754267466684e-09,4.72587028717087e-09,5.74607873599741e-09,5.96298608053656e-09,5.43343984049952e-09,5.71916441312052e-09,5.82659752387086e-09,5.81855127347082e-09,5.92943894206512e-09,5.81081356503394e-09,6.03920415288295e-09,5.69896103831907e-09,5.25616065044539e-09,4.82181222777489e-09,4.900435872648e-09,4.46081233178665e-09,4.25600493157137e-09
84,"BLZ","Belize",1.59653322326918e-08,1.52900082393281e-08,1.46328368812903e-08,1.35027003952922e-08,1.29807872355327e-08,1.2775613031539e-08,1.22863058748629e-08,1.19995778979048e-08,1.22544035725374e-08,1.23800342135221e-08,1.22955035269211e-08,1.23776497693362e-08,1.20176884931182e-08,1.33122706287475e-08,1.4166076591368e-08,1.45925416317993e-08,1.51082414276318e-08,1.56694862421207e-08,1.66883702812739e-08,1.67949332726959e-08,2.03147599150711e-08,1.8429930568855e-08,1.71488150025919e-08
204,"BEN","Benin",5.4832962644822e-09,7.19755123578286e-09,8.69105201558738e-09,1.04119622643729e-08,1.18952696789371e-08,1.39756678667363e-08,1.41923833274087e-08,1.36550567585835e-08,1.35215466463249e-08,1.36664968489933e-08,1.33031779933778e-08,1.29983215977395e-08,1.26251036595916e-08,1.21255264018843e-08,1.24460430419654e-08,1.35766347126525e-08,1.49703419080034e-08,1.58715865121482e-08,1.68587254611694e-08,1.73995816220795e-08,1.83433232983622e-08,1.87399243161774e-08,1.8814293066748e-08
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",1.31829002324151e-10,1.77750954302468e-10,2.21009695168701e-10,2.35668464601712e-10,2.45899271131178e-10,2.46790748248348e-10,2.48077729563052e-10,2.66475082820929e-10,2.76953696030272e-10,2.80494398332205e-10,3.34088815616184e-10,3.3186718620622e-10,3.4563307197032e-10,3.37654401632412e-10,3.47959675428169e-10,3.4566824171667e-10,3.45898366251511e-10,3.73335336044452e-10,3.70417630394774e-10,3.83291435436696e-10,4.46170817595131e-10,4.46198844643956e-10,4.50863045639006e-10
70,"BIH","Bosnia and Herzegovina",4.62699063666957e-08,3.52503224429057e-08,4.62712696460936e-08,3.35682484805288e-08,4.77995094438046e-08,3.8622784577139e-08,3.61003293319067e-08,4.42828448709259e-08,2.39911724869046e-08,1.74931745784288e-08,1.67756301811212e-08,1.61274842679927e-08,1.557125824547e-08,1.14825347760893e-08,1.19940955720023e-08,7.98471260038786e-09,8.06541328635246e-09,9.20315996144637e-09,9.29678234050915e-09,9.03588530749818e-09,9.89522189006621e-09,9.79123063229368e-09,9.14627474738571e-09
72,"BWA","Botswana",2.17733513626707e-09,3.00336007251895e-09,3.5726324257334e-09,4.23201523373413e-09,4.9074877842206e-09,5.6238826178822e-09,5.46296139126028e-09,5.27449668707529e-09,5.32270595924632e-09,6.4076305517718e-09,5.78087073639794e-09,5.44621328933098e-09,5.56181353509114e-09,5.133547102421e-09,5.30935577269728e-09,6.18243424088241e-09,6.59519442143016e-09,7.10162235681773e-09,7.71575805469198e-09,8.2560494065702e-09,9.91546611649379e-09,9.6926739051606e-09,9.77533585806765e-09
76,"BRA","Brazil",1.47948421381249e-09,1.42515474103647e-09,1.64724137772456e-09,1.81532717230795e-09,2.05622164642051e-09,1.98387050724626e-09,2.4634717386727e-09,2.531872922487e-09,2.73380920255207e-09,2.75202898992652e-09,3.06435521050618e-09,2.77871322515102e-09,2.9791942265726e-09,3.17868228296227e-09,3.35062920561539e-09,3.73352551988655e-09,4.16206010428684e-09,4.33960778176218e-09,4.45883763860723e-09,4.63013776452611e-09,5.01969727796944e-09,5.00281552875503e-09,5.07719369713282e-09
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1.03930770950361e-09,1.39670133089269e-09,1.69913060618704e-09,2.04714772101626e-09,2.43479494962075e-09,2.90027170373653e-09,2.92471014405807e-09,2.98025149789571e-09,3.15786244420937e-09,3.32368600250611e-09,3.22050387692506e-09,3.12254350211821e-09,3.15596576192761e-09,3.313472251375e-09,3.71426575005742e-09,4.12201548027015e-09,4.85293620642862e-09,5.36865682945357e-09,6.06071259478773e-09,6.42959667452869e-09,6.94550901449868e-09,7.72995122731427e-09,8.3893563972844e-09
100,"BGR","Bulgaria",4.60284517663819e-10,5.8923977845293e-10,7.272371205077e-10,9.20723065011695e-10,1.21060001083105e-09,1.79338824743913e-09,2.53115025029597e-09,3.06528956446172e-09,4.64373247123448e-09,4.90665249414711e-09,5.07785288980203e-09,5.61507542655775e-09,6.07240211450194e-09,7.19839866551676e-09,8.07381394728813e-09,8.64259262065252e-09,9.60518177380344e-09,1.20457837646708e-08,1.4551368381427e-08,1.13371322494455e-08,1.27025865848763e-08,1.28148489990662e-08,1.38397584578863e-08
854,"BFA","Burkina Faso",7.50701534868114e-09,9.72079180340445e-09,1.17635521212495e-08,1.35155359911053e-08,1.54810198904991e-08,1.70280515611364e-08,1.68983956467073e-08,1.65398179170294e-08,1.62584234182278e-08,1.63575563499138e-08,1.49715500717984e-08,1.41116671516126e-08,1.35523286765239e-08,1.31523043084348e-08,1.37691579049535e-08,1.46835508841645e-08,1.5806667650401e-08,1.6692830698431e-08,1.77145888833439e-08,1.85029093333567e-08,1.98834306209807e-08,2.03633322680023e-08,2.14778929691616e-08
108,"BDI","Burundi",5.30131516328923e-09,7.17957663949889e-09,8.68565865855208e-09,1.08971741536658e-08,1.2418784603876e-08,1.47220149413024e-08,1.47077656664441e-08,1.44976007927696e-08,1.43754914406444e-08,1.43200834906425e-08,1.35267125149592e-08,1.30940368551389e-08,1.27873037469473e-08,1.25456302581208e-08,1.30668505679547e-08,1.51476899384787e-08,1.73990007855631e-08,1.93421725294558e-08,2.16208062984422e-08,2.34287285480017e-08,2.55380158310954e-08,2.71132629347614e-08,2.83738655800448e-08
132,"CPV","Cabo Verde",7.17875192356872e-11,1.05832236976698e-10,1.54879201011107e-10,2.17744870163515e-10,2.71486769828127e-10,3.30812721665212e-10,3.95527683373544e-10,4.43333534929124e-10,5.27932897396094e-10,6.66288400249867e-10,7.90943604047973e-10,7.97448451109014e-10,8.77477748495565e-10,9.59987510296401e-10,1.04075866722457e-09,1.11770941229192e-09,1.15746992581943e-09,1.1865150597444e-09,1.22069625252286e-09,1.20525472332742e-09,1.58173274124954e-09,1.56342530767474e-09,1.39828727795533e-09
116,"KHM","Cambodia",3.2537667390807e-09,4.15866344945088e-09,4.91357436965927e-09,5.63829438187998e-09,6.07555438270268e-09,6.43056298305432e-09,6.12600552512419e-09,5.67475979601826e-09,5.50977805480713e-09,5.69577289578887e-09,5.34952407018102e-09,5.02032738024394e-09,4.76772965825184e-09,4.56611789808136e-09,4.65091971865582e-09,4.82105272683761e-09,5.15496367820577e-09,5.39028178467308e-09,5.68144888476931e-09,5.85990267603478e-09,6.61760518514529e-09,7.03231158165819e-09,7.13465442406156e-09
120,"CMR","Cameroon",2.57110106426555e-08,2.29157905561489e-08,2.48307261324139e-08,2.45278010339105e-08,2.98781805848e-08,2.94062319998181e-08,2.90179925792097e-08,2.91387944811919e-08,2.54344006953024e-08,2.33825118665575e-08,2.22662198193608e-08,2.10958223446735e-08,1.97400807121932e-08,1.97409212694395e-08,2.10863670670905e-08,2.05565675837126e-08,2.25395654129313e-08,2.42121226243003e-08,2.6282335034363e-08,2.78776985367954e-08,3.02770162533123e-08,3.18934732948147e-08,3.26259705769157e-08
124,"CAN","Canada",1.19037618446434e-08,1.08425221792548e-08,1.17277190852423e-08,1.03386239172593e-08,1.0387209327196e-08,9.23177367871219e-09,1.07532091172717e-08,1.27214412321844e-08,1.10861812636115e-08,1.08121516748212e-08,1.04880784962262e-08,1.04223818519879e-08,1.03044751122928e-08,1.03750835283798e-08,1.0916203201928e-08,1.05500239285172e-08,1.09706129537118e-08,1.07602236900069e-08,1.08000971498844e-08,1.06540278202712e-08,1.14514402849442e-08,1.1176174378257e-08,1.09140187713255e-08
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",1.24392042418158e-08,1.64329420794972e-08,2.00072189546767e-08,2.63069417481274e-08,2.9685551193801e-08,3.49644566942379e-08,3.52134656383966e-08,3.4322504395965e-08,3.49251915458049e-08,3.33544810103742e-08,3.16885052891045e-08,3.0594917707166e-08,2.96431609413769e-08,4.79655217085157e-08,5.22836370680147e-08,5.55911063096508e-08,6.0544771133085e-08,6.48350171911825e-08,7.07356354040494e-08,7.5736946972983e-08,8.23467650609299e-08,8.92702411342659e-08,9.51778306210924e-08
148,"TCD","Chad",8.4156657494759e-09,1.04156226024509e-08,1.21106341134153e-08,1.30517172746034e-08,1.17061592154458e-08,1.1935565061207e-08,1.24668276129785e-08,1.23074447817094e-08,1.2457152017406e-08,1.23368226897135e-08,1.08163641191652e-08,1.08556553992344e-08,1.01916142933433e-08,9.89355000706236e-09,1.01177096403531e-08,1.09136998312858e-08,1.32702131969111e-08,1.53574476359129e-08,1.69686958748473e-08,1.81023418054552e-08,2.01718093050768e-08,2.23768227510859e-08,2.33252843868596e-08
152,"CHL","Chile",1.20003602868596e-09,1.92115571666207e-09,2.6236125974656e-09,3.24435912083024e-09,3.6595928090459e-09,4.0620307102621e-09,4.46340514333336e-09,4.8159571125097e-09,5.2201401367499e-09,5.86573682944401e-09,6.09561631781512e-09,1.12943335449354e-08,1.20154413045096e-08,8.51486571609426e-09,9.57992733686344e-09,1.05675352295085e-08,1.1531922260539e-08,1.32404255873937e-08,1.45238924517461e-08,1.5962165827299e-08,1.88343517113032e-08,1.86525189346528e-08,1.93708088759783e-08
156,"CHN","China",1.32163274652975e-08,1.60752729297746e-08,1.50210031060301e-08,1.88711751013301e-08,2.21031009537709e-08,2.74627094208113e-08,2.81901655304568e-08,2.16632510302575e-08,1.74143266988013e-08,1.98279546879927e-08,2.14556924473674e-08,2.23501098934032e-08,2.34264839850065e-08,2.37865439520337e-08,2.47870841903361e-08,1.99387706790194e-08,1.95749558809616e-08,1.94096315341209e-08,1.91715590668371e-08,1.89840069451084e-08,1.95250112721819e-08,1.89263772753894e-08,1.83378303453608e-08
170,"COL","Colombia",2.54492397800966e-09,3.4579918046998e-09,4.25706036503305e-09,5.07559539019697e-09,5.74809696745628e-09,6.55665134377961e-09,6.4719388884511e-09,6.18628304330411e-09,6.22761522012691e-09,6.37314858302535e-09,6.08025229007976e-09,5.72034155911016e-09,5.62315731475039e-09,5.49311820669794e-09,5.73309860392815e-09,6.16565735513469e-09,6.87313894422358e-09,7.57447794851764e-09,8.34164632526167e-09,8.9155974179602e-09,1.05093435739526e-08,1.03535663323566e-08,1.02597509893567e-08
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",1.12952049881234e-09,1.49900849547379e-09,1.82492709997867e-09,2.1666087329437e-09,2.46919160879795e-09,2.83651352021732e-09,2.78116802840029e-09,2.62683254473543e-09,2.60289642412299e-09,2.72156536399481e-09,2.57012179981474e-09,2.47416096577542e-09,2.4063982272788e-09,2.40565368662784e-09,2.53558759956616e-09,2.71565926020282e-09,2.96804783231583e-09,3.18715110646443e-09,3.51228355149297e-09,3.77892885361072e-09,4.32264921159572e-09,4.39517050160694e-09,4.4859062887612e-09
384,"CIV","Cote d'Ivoire",3.60858787688099e-09,5.08947928968564e-09,6.61247709059202e-09,8.59600073016677e-09,9.96594468827026e-09,1.18075826121239e-08,1.20933599612547e-08,1.21967288801819e-08,1.21028215362107e-08,1.20744403055199e-08,1.12245587677706e-08,1.19419053051218e-08,1.13202368002975e-08,1.05012729642892e-08,1.04742842308222e-08,1.08250099138798e-08,1.15306862695406e-08,1.20666203412918e-08,1.30173160663182e-08,1.34875169704226e-08,1.45023053124583e-08,1.48541501602477e-08,1.48138330563469e-08
191,"HRV","Croatia",4.5172564479777e-09,4.0967358912209e-09,3.83774270249524e-09,3.63438597409852e-09,3.52915706114771e-09,3.40287821285833e-09,3.28983407677955e-09,3.28486119409028e-09,3.17699177234554e-09,3.33906265113856e-09,4.14742038105163e-09,4.4069002641108e-09,4.4732935137568e-09,5.13414670835985e-09,5.19542266101018e-09,5.14395097065789e-09,4.98558316028818e-09,4.87453422250242e-09,4.7937453209435e-09,4.67708506818317e-09,5.1710720229071e-09,4.61379068676241e-09,4.37719850519772e-09
192,"CUB","Cuba",9.26031149036997e-10,1.23855833600847e-09,1.54813600367587e-09,1.83873939586745e-09,2.07881355686129e-09,2.24110412068407e-09,2.10711667709603e-09,2.00083404731364e-09,2.0003359576188e-09,2.03199119961255e-09,1.97614425776307e-09,1.9304561922412e-09,1.913660725108e-09,1.91658411732495e-09,2.07261955970811e-09,2.19690674667183e-09,2.49169520438429e-09,2.74796049806784e-09,3.03748671626982e-09,3.35790981749913e-09,4.13289555492121e-09,4.47045880725541e-09,4.68278522347439e-09
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",3.87074291800866e-09,4.17376062912199e-09,4.46204210153793e-09,4.94088873945695e-09,5.3065947930617e-09,5.59938765614834e-09,5.86148973216554e-09,6.00115697228526e-09,6.35641998973864e-09,6.93675781868318e-09,7.31565018686682e-09,8.16077711511732e-09,8.7759925031225e-09,9.84555528057751e-09,1.03765232393186e-08,1.03406335903232e-08,1.01191037372268e-08,9.9943923586287e-09,9.86143690973942e-09,9.69787066158224e-09,1.05105871197455e-08,1.02558158769231e-08,1.00116090307733e-08
