"code","iso","country","PPO.raw.2050"
4,"AFG","Afghanistan",74075234
8,"ALB","Albania",2375639
12,"DZA","Algeria",60001113
20,"AND","Andorra",80504
24,"AGO","Angola",72328068
660,"AIA","Anguilla",NA
28,"ATG","Antigua and Barbuda",99030
32,"ARG","Argentina",52288896
51,"ARM","Armenia",2573465
533,"ABW","Aruba",94185
36,"AUS","Australia",31770564
40,"AUT","Austria",8931299
31,"AZE","Azerbaijan",10656656
44,"BHS","Bahamas",450625
48,"BHR","Bahrain",1809237
50,"BGD","Bangladesh",203904900
52,"BRB","Barbados",267788
112,"BLR","Belarus",8108152
56,"BEL","Belgium",12013676
84,"BLZ","Belize",538838
204,"BEN","Benin",25264035
60,"BMU","Bermuda",NA
64,"BTN","Bhutan",874294
68,"BOL","Bolivia",16609854
70,"BIH","Bosnia and Herzegovina",2739014
72,"BWA","Botswana",3679340
76,"BRA","Brazil",230885725
92,"VGB","British Virgin Islands",34768
96,"BRN","Brunei Darussalam",498373
100,"BGR","Bulgaria",4940498
854,"BFA","Burkina Faso",40541548
108,"BDI","Burundi",24208671
132,"CPV","Cabo Verde",727457
116,"KHM","Cambodia",20258435
120,"CMR","Cameroon",51279560
124,"CAN","Canada",45946328
136,"CYM","Cayman Islands",77633
140,"CAF","Central African Republic",11533423
148,"TCD","Chad",36452035
152,"CHL","Chile",20675378
156,"CHN","China",1291395968
170,"COL","Colombia",56987651
174,"COM","Comoros",1246207
184,"COK","Cook Islands",NA
188,"CRI","Costa Rica",5702525
384,"CIV","Cote d'Ivoire",51358243
191,"HRV","Croatia",3173712
192,"CUB","Cuba",10028085
531,"CUW","Curacao",162930
196,"CYP","Cyprus",1391785
203,"CZE","Czech Republic",10585315
180,"COD","Dem. Rep. Congo",217494003
208,"DNK","Denmark",6428265
262,"DJI","Djibouti",1502575
212,"DMA","Dominica",74167
214,"DOM","Dominican Republic",13180541
218,"ECU","Ecuador",22269779
818,"EGY","Egypt",160339889
222,"SLV","El Salvador",6636854
226,"GNQ","Equatorial Guinea",2790533
232,"ERI","Eritrea",5964021
233,"EST","Estonia",1185207
748,"SWZ","Eswatini",1655121
231,"ETH","Ethiopia",214812309
234,"FRO","Faeroe Islands",59444
238,"FLK","Falkland Islands",NA
242,"FJI","Fiji",1094174
246,"FIN","Finland",5451534
250,"FRA","France",68574248
258,"PYF","French Polynesia",346933
266,"GAB","Gabon",3757053
270,"GMB","Gambia",4673743
268,"GEO","Georgia",3347803
276,"DEU","Germany",78831904
288,"GHA","Ghana",52231785
300,"GRC","Greece",9243680
304,"GRL","Greenland",NA
308,"GRD","Grenada",136253
320,"GTM","Guatemala",23846174
831,"GGY","Guernsey",NA
324,"GIN","Guinea",23711700
624,"GNB","Guinea-Bissau",3445289
328,"GUY","Guyana",878746
332,"HTI","Haiti",15087520
336,"VAT","Holy See",NA
340,"HND","Honduras",14258514
344,"HKG","Hong Kong",6724378
348,"HUN","Hungary",8147784
352,"ISL","Iceland",415648
356,"IND","India",1670490596
360,"IDN","Indonesia",317225213
364,"IRN","Iran",99007204
368,"IRQ","Iraq",74515140
372,"IRL","Ireland",5756287
833,"IMN","Isle of Man",86680
376,"ISR","Israel",13634143
380,"ITA","Italy",51572364
388,"JAM","Jamaica",2493823
392,"JPN","Japan",104631976
832,"JEY","Jersey",NA
400,"JOR","Jordan",15005941
398,"KAZ","Kazakhstan",25863816
404,"KEN","Kenya",85211739
296,"KIR","Kiribati",188570
689,"XKX","Kosovo",1772812
414,"KWT","Kuwait",5155414
417,"KGZ","Kyrgyzstan",9656981
418,"LAO","Laos",9775552
428,"LVA","Latvia",1463839
422,"LBN","Lebanon",4937579
426,"LSO","Lesotho",2898369
430,"LBR","Liberia",8890700
434,"LBY","Libya",8539976
438,"LIE","Liechtenstein",42287
440,"LTU","Lithuania",2259639
442,"LUX","Luxembourg",777917
446,"MAC","Macao",881666
450,"MDG","Madagascar",51592965
454,"MWI","Malawi",37159300
458,"MYS","Malaysia",41032433
462,"MDV","Maldives",569909
466,"MLI","Mali",47439802
470,"MLT","Malta",511019
584,"MHL","Marshall Islands",51211
478,"MRT","Mauritania",8914673
480,"MUS","Mauritius",1186505
484,"MEX","Mexico",143772364
583,"FSM","Micronesia",135457
498,"MDA","Moldova",2033826
492,"MCO","Monaco",37664
496,"MNG","Mongolia",4518856
499,"MNE","Montenegro",574052
504,"MAR","Morocco",45044990
508,"MOZ","Mozambique",63044497
104,"MMR","Myanmar",59929399
516,"NAM","Namibia",3779918
520,"NRU","Nauru",14695
524,"NPL","Nepal",37401365
528,"NLD","Netherlands",17903114
540,"NCL","New Caledonia",335198
554,"NZL","New Zealand",5838436
558,"NIC","Nicaragua",9094641
562,"NER","Niger",67043296
566,"NGA","Nigeria",377459883
570,"NIU","Niue",NA
408,"PRK","North Korea",25807197
807,"MKD","North Macedonia",1871174
578,"NOR","Norway",6349137
512,"OMN","Oman",6328978
586,"PAK","Pakistan",367808468
585,"PLW","Palau",16689
591,"PAN","Panama",5736121
598,"PNG","Papua New Guinea",14910369
600,"PRY","Paraguay",8591486
604,"PER","Peru",42022554
608,"PHL","Philippines",157891622
616,"POL","Poland",30510780
620,"PRT","Portugal",9290360
634,"QAT","Qatar",3358454
178,"COG","Republic of Congo",10378912
642,"ROU","Romania",16167364
643,"RUS","Russia",131453104
646,"RWA","Rwanda",23030046
652,"BLM","Saint Barthelemy",NA
659,"KNA","Saint Kitts and Nevis",46882
662,"LCA","Saint Lucia",177856
670,"VCT","Saint Vincent and the Grenadines",101691
882,"WSM","Samoa",320016
674,"SMR","San Marino",32044
678,"STP","Sao Tome and Principe",366663
682,"SAU","Saudi Arabia",48374543
686,"SEN","Senegal",32562869
688,"SRB","Serbia",5380041
690,"SYC","Seychelles",108192
694,"SLE","Sierra Leone",13595023
702,"SGP","Singapore",5934326
534,"SXM","Sint Maarten",NA
703,"SVK","Slovakia",4688560
705,"SVN","Slovenia",1979010
90,"SLB","Solomon Islands",1225407
706,"SOM","Somalia",36462830
710,"ZAF","South Africa",73529753
410,"KOR","South Korea",44893100
728,"SSD","South Sudan",17460846
724,"ESP","Spain",43807376
144,"LKA","Sri Lanka",22112856
275,"PSE","State of Palestine",8471025
729,"SDN","Sudan",84494269
740,"SUR","Suriname",725519
752,"SWE","Sweden",11778568
756,"CHE","Switzerland",9685882
760,"SYR","Syria",38306374
158,"TWN","Taiwan",NA
762,"TJK","Tajikistan",15200989
834,"TZA","Tanzania",129931520
764,"THA","Thailand",67880083
626,"TLS","Timor-Leste",1806869
768,"TGO","Togo",15478883
776,"TON","Tonga",131225
780,"TTO","Trinidad and Tobago",1485139
788,"TUN","Tunisia",14315779
792,"TUR","Turkiye",95829258
795,"TKM","Turkmenistan",8263833
796,"TCA","Turks and Caicos Islands",52865
798,"TUV","Tuvalu",13211
800,"UGA","Uganda",87622081
804,"UKR","Ukraine",35690236
784,"ARE","United Arab Emirates",11449471
826,"GBR","United Kingdom",70734980
840,"USA","United States of America",370866836
858,"URY","Uruguay",3337143
860,"UZB","Uzbekistan",46812812
548,"VUT","Vanuatu",578567
862,"VEN","Venezuela",35937404
704,"VNM","Viet Nam",107012939
876,"WLF","Wallis and Futuna Islands",NA
732,"ESH","Western Sahara",NA
887,"YEM","Yemen",55296331
894,"ZMB","Zambia",37460435
716,"ZWE","Zimbabwe",26438589
